Word,Type,Definition1,Definition2,Example,Synonym
tuon,verb,learn,study,dali makatuon ra ka,-
sili,food,chile,,,
kaon,,eat,,,
duwende,expression,elf,,ikaw tanaw sama sa duwende,
hangin,noun,air,,ang hangin mao lami,
upat,number,four,,,
dawat,verb,to accept,accept,,
dugay,adjective,long,,kana sa dugay pa!,
tamis,,sweet,,,
labas,expression,outside,,ang iro kay labas,gawas
tamakan,verb,stomp,,mag tamakan ko sa ang ipis,
resolusyon,expression,resolution,,,
febrero,month,february,,,
hinumdum,verb,remember,,"nakahinumdum ra ko, niadto ta sa dinhi ganiha dugay pa",
maldita,verb,irritable,damned,,
nipis,adjective,thin,,nipis ang lingkoranan,
ilis,verb,change,-,kinahanglan akong mga sanina una,-
sugal,verb,gamble,,ganahan ba mo mag sugal?,
katawhan,expression,person,,,
sud-an,noun,dish,meal,,
dagum,noun,cloud,,nag dagum,
taas,adjective,tall,long,Taas kaayo ka,[A
baga kag nwong,expression,darn you,,,
enero,month,january,,,
bisita,verb,visit,,,
mi,expression,we,us,sige lang mi,
kuyaw,expression,wow,,,kaayo
bapor,noun,boat,ship,dako ang bapor,-
bulad,food,dried small fish,dried fish,,
kiri,expression,this,,unsa kiri pagkaon?,
panganod,noun,cloud,,nag panganodon panahon,
manghod,noun,little sister,little brother,kaila ka iyang manghod,
gahapon,expression,yesterday,,,
banyo,noun,bathroom,toilet,adto to sa banyo,kasilyas
permi,permanently,permanently,always,gihigugma ko nimo permeng,
gahapon,,yesterday,,,
unlan,noun,pillow,,kini unlan kay nindot,
unsaon,5Ws,how,,Unsaon ingna ko...,
bughaw,color,blue,,,sinabilaw
lapis,noun,pencil,,mubo ang lapis,
gingharian,noun,kingdom,,akong kini gingharian,
gyud,expression,really,,,
hinog,adjective,ripe,,ang saging kay hinog,
paminaw,verb,hear,listen,"paminaw ra ko, mag kat-on mas Bisaya",
lipay,,happy,,,
baroron,color,brown,,,
hulat,verb,wait,,"dili balaka ka, mag hulat sila didto",
swerte,,lucky,,,
lasa,,taste,,,
kamot,body,hand,,,
semana,,week,,,
init,,hot,,,
kita,verb,see,,mag kita ta puhon,kita-kits
salamat,noun,thank you,,salamat para ang pagkaon,
baba,body,mouth,,,
unggoy,animal,monkey,,,"tsunggo,pag-inamo"
kini,noun,this,-,Unsa man kini?,"ni,kana"
libreriya,,library,,,
kasabot,verb,to understand,understand,dili kasabot ko kini,kabalo
kay,,because,"with,is",,
ang,,the,,asa ang banyo,
miercules,weekday,Wednesday,,,
suga,noun,light,lamp,,
dinhi,noun,here,,,
inusara,,alone,,,
kilig,expression,cute,goals,"aw, kilig kaayo",sana all
gamay,adjective,small,short,,mubo
bilbil,expression,belly fat,,,
pildi,verb,lose,loser,dili ganahan ko ang pildi,
opisina,noun,office,,,
kuryente,noun,electricity,,ayaw paghikap kay ang kuryente,
hunyo,month,june,,,
pagkaon,noun,food,,asa ang pagkaon?,
kadlawon,,morning,dawn,,
basa,,wet,read,,
dugo,noun/verb,bleed,,nag dugo akong ilong,
palihug,adverb,please,,pwede naa ko imong tubig palihug?,
wala,,none,left,,wa
sin,noun,roof,,,
usa,number,one,,,
man,expression,also,,musta man ka?,
kabalo,verb,know,,kabalo ko kana,kasabot
gikan,expression,from,,,taga
baha,noun,flood,,,
sulod,,enter,interior,,
pila,cost,cost,how much,tagpila kana?,
nasud,noun,country,,unsa nasud taga ka?,
agosto,month,august,,,
pasayloa,,sorry,,,pasensya
salig,verb,to trust,trust,,
gitling,color,purple,,,kiling
kauban,,companion,together,akong asawa kay akong kauban para kinabuhi,kuyog
palengke,noun,market,supermarket,,
bati,adjective,bad,"hear,remember",ang ero kay bati,
kabayo,animal,horse,,ganahan ko ang kabayo,
punit,verb,pick up,grab,punita ka imong sanina,
kamo,,you,,,
semana,expression,week,,,
hugaw,,dirty,,,
walo,number,eight,,,
puti,color,white,,,bugase
musica,noun,music,,saba ang musica,
giyaw,color,yellow,,,amarillo
samok,adjective,loud,trouble,atong kay samok,
decyembre,month,december,,,
kapoy,,tired,,,
sinehan,noun,movie theatre,cinema,,
padayon,verb,continue,keep,,
ero,,dog,,,
buhok,noun,hair,fur,,
halang,adjective,spicy,,,
unom,number,six,,,
gutom,,hunger,,,
singot,noun,sweat,,,
mani,food,peanut,,,
napulo,number,ten,,,
sila,pronoun,they,them,kinsa sila?,-
