Word,Type,Definition1,Definition2,Example,Synonym
octubre,month,october,,,
haligi,noun,wall,pillar,,bong-bong
tugkaran,noun,backyard,-,naay sagbo sa akong tugkaran,-
utokan,adjective,smart,bright,utokan kaayo ka,maalamon
pungko,verb,squat,,"ok lang, mupungko ko diri",
bastos,expression,rude,disrespect,sila nag bastos nako ganiha adlaw,
ibabaw sa,expression,on top of,above,kini naa sa ibabaw nimo,-
dai,,never,,dili gayud,dili gayud
sabong,expression,cock fight,,gusto go mag adto sa sabong usa adlaw,
labot,,care,concern,,
makituon,,studious,,,
kamo,,you,,,
buotan,,good,,,maayo
igusuon,noun,sibling,,,
