Word,Type,Definition1,Definition2,Example,Synonym
gingharian,noun,kingdom,,akong kini gingharian,
reyalidad,noun,reality,,,
hayop,,animal,beast,,
bastos,expression,rude,disrespect,sila nag bastos nako ganiha adlaw,
pungko,verb,squat,,"ok lang, mupungko ko diri",
langit,noun,sky,heaven,,
utot,expression,fart,flatulence,,
asa,5Ws,where,-,Asa na ka karon?,"diin,hain"
mata,verb/noun,eye,look,,"tanaw,tutuk"
dalunggan,body,ear,,,
libro,noun,book,,,
kugihan,,hardworking,diligent,,
langnam,,bird,,,
bagong tuig,expression,new year,,,
sugal,verb,gamble,,ganahan ba mo mag sugal?,
haligi,noun,wall,pillar,,bong-bong
kapoy,,tired,,,
taas,adjective,tall,long,Taas kaayo ka,[A
tingali,expression,maybe,i think,muabot siya a las 3 oras tingali,
linkoranan,noun,chair,,,
pagpaubos,adjective,humility,humble,,
labot,,care,concern,,
gadila,color,green,,,verde
tubig,,water,,,
bagyo,noun,typhoon,,,
pahulay,verb,rest,,gusto pahulay ko para dugay pa,
sila,pronoun,they,them,kinsa sila?,-
lutang,verb,to float,float,,
tsinelas,noun,slippers,,,
didto,,there,,,
palit,verb,buy,purchase,mag palit ko mga mani para nimo,
mani,food,peanut,,,
ganiha,expression,earlier,before,nag adto mi sa mall ganiha ,
paki,expression,please,,paki balika,palihug
kay,,because,"with,is",,
ilimnom,noun,drink,alcoholic drink,muadto ta sa inom mga ilimnom,
palengke,noun,market,supermarket,,
hinog,adjective,ripe,,ang saging kay hinog,
atong,pronoun,their,theirs,mu punit ta atong pagkaon ganiha mag adto ta sa dagat,
dalan,noun,road,,hugaw ang dalan,
tagaan,verb,give,provide,pwede ka tagaan nako ang pagkaon palihug,
gabii,expression,evening,night,muabot ta sa inyo balaya a las gabii karon,-
tuhod,body,knee,-,"sakit akong tuhod, ah diay",-
dawat,verb,to accept,accept,,
kinsa,5Ws,who,,kinsa na siya?,
baga kag nwong,expression,darn you,,,
dali,,easy,,,sayon
siya,pronoun,he/her,they,kinsa siya?,-
kinabuhi,,life,existence,,
hugas,verb,wash,cleanse,nag hugasaon mga plato,limpyo
basakan,,rice paddy,field,,
simbahan,noun,church,,,
ulahi,,late,,,
bati,adjective,bad,"hear,remember",ang ero kay bati,
dagum,noun,cloud,,nag dagum,
estorya,noun,story,talk,kabalo ka mo estorya ug Ininglis?,isulti
tinud anay,expression,in reality,true,,
ero,,dog,,,
unom,number,six,,,
di ba?,expression,right?,,,
itom,color,black,,,negro
ipis,animal,cockroach,,,
duha,number,two,-,Mopalit kog duha,-
maayo,,good,,maayong adlaw!,buotan
panapton,noun,clothes,,,sanina
buluhaton,verb,chore,task,Naa ko mga buluhaton sa akong balay,
karne,,meat,,,
tipid,verb,thrift,save,,
hulat,verb,wait,hold on,"dili balaka ka, mag hulat sila didto",-
bahin,,bit,about,,
kabayo,animal,horse,,ganahan ko ang kabayo,
sabado,weekday,Saturday,-,-,-
antipara,noun,sunglasses,glasses,ganahan ko imong antipara,
saging,food,banana,,,
kini,noun,this,-,Unsa man kini?,"ni,kana"
a las,expression,it is,time,a las cinco,
giyaw,color,yellow,,,amarillo
lamesa,noun,table,,,
inusara,,alone,,,
tutuk,verb,focus,concentrate,tutukan ka sa ang dula!,tanaw
oo,,yes,,,"gani,bitaw"
kanus-a,5Ws,when,,,
pito,number,seven,,,
lapad,adjective,wide,,ang dalan sa lapad,
agosto,month,august,,,
nabilin,noun,leftover,survivor,nabilin na pagkaon,
panagsa,,sometimes,,,usahay
diri,noun,return,here,dai ali diri,"dinhi,balika"
tagae ko,verb,give me,,tagae ko imong silhig paki,
gutom,,hunger,,,
usa,number,one,,,
opisina,noun,office,,,
presyo,noun,price,fee,tagpila ang presyo para kiri?,bayad
ilong,body,nose,,,
musica,noun,music,-,saba ang musica,-
pantalon,noun,pants,,,
sagbo,noun,grass,,ang sagbo kay nindot!,
hugaw,,dirty,,,
kuryente,noun,electricity,,ayaw paghikap kay ang kuryente,
kita,verb,see,pastilan! mga lamog gipaak nako,mag kita ta puhon,kita-kits
delata,noun,canned goods,,,
pila,cost,cost,how much,tagpila kana?,
bisita,verb,visit,,,
hipon,animal,shrimp,,,
seguro na,expression,forsure,,,
kuyog,,go with,,,
gamit,verb,use,,Mag gamit ko kana unya,buhat
lang,,just,simply,,ra
hangin,noun,air,,ang hangin mao lami,
silingan,noun,neighbor,,among mga silingan kay OK lang,
leksyon,,lesson,,,
kuan,expression,thing,anything,asa ang kana kuan?,
man,expression,also,,musta man ka?,
banyo,noun,bathroom,toilet,adto to sa banyo,kasilyas
plasa,,plaza,,,
makituon,,studious,,,
mag,prefix,future,,magkita ta puhon,
sili,food,chile,-,ganahan ba sili?,-
kuyog,,together,swarm,mag adto ko kuyog nimo,kauban
puhon,adjective,soon,shortly,magkita ta puhon,dayon
lubi,food,coconut,,,
bata,expression,child,,,
ali,verb,come,,dai ali diri,umari
dili,,no,,dili storya ka,di/wala
kabalo,verb,know,-,kabalo ko kana,kasabot
sabak,verb,sit (on the lap),womb?,sabak ka akong lap,-
hunyo,month,june,,,
mao,verb,is,be,,
pabuto,noun,firework,,gusto ka sa mga pabuto?,
kiri,expression,this,,unsa kiri pagkaon?,
botelyo,noun,bottle,,asa ang akong botelyo?,
kadlawon,,morning,dawn,,
kami,,we,us,,kita
sama sa,expression,its like,like,,
linkod,verb,sit,servant?,"ah diay, sulod ug lingkod sila",
gwapo,,handsome,,,
kasagaran,,often,usually,,
balibad,verb,refuse,decline,dili mobalibad ko kini,
ako,pronoun,I,me,-,ko
dinhi,noun,here,,,
strikto,verb,strict,,,
decyembre,month,december,,,
layo,expression,far,distant,layo ang dagat gikan diri,-
plato,noun,plate,,,
hulyo,month,july,,,
bapor,noun,boat,ship,dako ang bapor,-
palihug,adverb,please,,pwede naa ko imong tubig palihug?,
gani,expression,yes,,,"oo,bitaw"
busog,,full,,,
parat,,salty,,,
mag-uuma,noun,farmer,,akong lolo nag mag-uuma para kinabuhi siya,
dagan,verb,run,,dagan ka paspas kaayo,
kita,,we/us,see,magkita ta puhon,kami
halang,adjective,spicy,,,
tiyan,body,stomach,,"Sakit akong tiyan, bidli ko",
suplado,,stubborn,,,
basa,,wet,read,,
pasayloa,,sorry,,,pasensya
bulawan,color,gold,,,
lemonsito,food,lemon,lime,gusto ka kay mga lemonsito?,-
bugat,adjective,heavy,,kini kuan kay bugat kaayo,
gyud,expression,really,,,
singot,noun,sweat,perspiration,singot ko kay nag dula sa basketball uban akong barkada ,-
ugma,expression,tomorrow,,,
lipay,,happy,,,
usahay,,sometimes,,,panagsa
biyaan,verb,leave,abondon,biyaan ta karon ug adto sa among balay,
sin,noun,roof,-,kinahanglan limpyo kong sin,-
diay,expression,exclamation,really?,,
mahal,noun,expensive,love (tagalog),"mahal ang pagkaon, halaka",sosyal
kulot,adjective,curly,,inyo buhok kay kulot,
sana all,expression,good for them,amazing,,
kasal,noun,marriage,wedding,,
gitling,color,purple,,,kiling
kauban,,companion,together,akong asawa kay akong kauban para kinabuhi,kuyog
baso,noun,glass,cup,,
tapulan,adjective,lazy,,mag gusto tapulan ko karon adlaw,
saad,verb,to promise,promise,saad nako palihug,
martes,weekday,Tuesday,,,
resolusyon,expression,resolution,,,
ko,pronoun,I,me,-,ako
disturbo,verb,disturb,,sila nag disturbo siya,
baka,animal,cow,,,
akong,pronoun,my,mine,,
kanta,verb,sing,,,
anibersaryo,noun,anniversary,,,
