Word,Type,Definition1,Definition2,Example,Synonym
salamat,noun,thank you,,salamat para ang pagkaon,
saba,adjective,noisy,,saba ang musica,
baso,noun,glass,cup,,
pag-amping,verb,careful,be careful,pag-amping paki,-
kauban,,companion,together,akong asawa kay akong kauban para kinabuhi,kuyog
sugbahon,verb,grilled,bbq,nag sugbahon siya ang isda,sinugbahon
pitaka,noun,purse,wallet,asa iyang pitaka?,-
atiman,verb,take care,,atiman ko sa akong asawa,
dinhi,noun,here,,,
itom,color,black,,,negro
pasensya,verb,sorry,,pasensya na ko para kana,pasayloa
kapay,noun,fin,,,
kiri,expression,this,,unsa kiri pagkaon?,
lansang,noun,nails,nail,kanihanglan ko ang martilyo ug mga lansang,-
bugat,adjective,heavy,,kini kuan kay bugat kaayo,
payat,adjective,thin,skinny,,
hunyo,month,june,,,
panganod,noun,cloud,,nag panganodon panahon,
dalunggan,body,ear,,,
haligi,noun,wall,pillar,,bong-bong
sab,expression,too,as well,maayo sab,"usab,pud"
panapton,noun,clothes,,,sanina
dala,verb,bring,carry,mag dala akong tubig,da
sila,pronoun,they,them,kinsa sila?,-
kalye,road,street,-,ang mercado sa kiliran ang kalye,dalan
kulira,expression,curse word,,,
daug,verb,win,,daugon ta!,
tanom,noun,plant,flora,naay daghang mga tanom dinhi,-
abohon,color,gray,,,
sine,,movie theatre,cinema,,
labas,expression,outside,,ang iro kay labas,gawas
tuk-an,verb,choke,-,nagtuk-an ko,-
balyena,animal,whale,-,"tanaw, usa balyena sa dagat!",-
bulok,adjective,rotten,,bulok ang mga prutas,
ting,particle,present,continuous,ting puyo ta karon,"nag,gi"
baga kag nwong,expression,darn you,,,
pasayloa,,sorry,,,pasensya
bata,expression,child,,,
ganiha,expression,earlier,before,nag adto mi sa mall ganiha ,
maldita,verb,irritable,damned,,
tamis,,sweet,,,
dai,,never,,dili gayud,dili gayud
hulagway,,picture,,,
hayop,,animal,beast,,
musica,noun,music,-,saba ang musica,-
man,expression,also,,musta man ka?,
simbahan,noun,church,,,
nahitiabo,phrase,happened,happen,kana nahitiabo unya naguol ko,-
tutuk,verb,focus,concentrate,tutukan ka sa ang dula!,tanaw
estorya,noun,story,talk,kabalo ka mo estorya ug Ininglis?,isulti
bolpen,noun,pen,,mubo ang bolpen,
kabaliktaran,adjective,opposite,inverted,atong kay kabaliktaran,
balik,verb,return,relapse,balik ka palihug?,
himo,verb,make,do,nag himo ko ang kape,buhat
gipahulam,"verb,expression",lent,lend,maka gipahulam ko naka,-
pait,adjective,bitter,bittersweet,ang lasa og pait,mapait
baba,body,mouth,,,
dagum,noun,cloud,,nag dagum,
salida,noun,movie,,,
labay,verb,pass,pass by,molabay mi sa ang mercado unya,-
dili gayud,,never,,,
pito,number,seven,,,
naay,"particle,verb",there's,there is,naay manok sa tapok-tapok,naa
utokan,adjective,smart,bright,utokan kaayo ka,maalamon
sapa,noun,stream,creek,ganahan ko ang sapa,-
reyalidad,noun,reality,,,
pag,particle,when,to,"pag bata ko, ganahan dula",pa
ulaw,verb,shy,,ulaw-on siya,
salog,noun,floor,,limpyo ang salog,
atbang sa,expression,in front of,in front,kini atbang sa ka,-
hinamigo,expression,friendly,,pilipinos kay hinamigo kaayo,
pahumot,noun,perfume,-,kusog ang imong pahumot,hamot
saad,verb,to promise,promise,saad nako palihug,
kadlawon,,morning,dawn,,
diri,noun,return,here,dai ali diri,"dinhi,balika"
tagaan,verb,give,provide,pwede ka tagaan nako ang pagkaon palihug,
giyaw,color,yellow,,,amarillo
pila,cost,cost,how much,tagpila kana?,
nasud,noun,country,,unsa nasud taga ka?,
regalo,noun,gift,present,,
nipis,adjective,thin,,nipis ang lingkoranan,
kasal,noun,marriage,wedding,,
dila,body,tounge,,,
dulong,adjective,toward,headed,asa ka padulong?,
ingon,verb,tell,told,pag ingon ka lang nako,isulti
walay,noun,none,left,Walay problema,wala
pamilyar,,familiar,,,
tanaw,verb,look,watch,"ayaw tanaw, ako naked!","mata,tutuk"
igusuon,noun,sibling,,,
kami,,we,us,,kita
katawahan,adjective,funny,laughter,naa katawahan kaayo siya,lingaw
restawran,,restaurant,,,
gaan,adjective,light,,,imong timbang kay gaan kaayo
tingpamulak,noun,spring,-,ganahagan ko ang tingpamulak,-
sa luyo,expression,behind,-,kini naa luyo sa nimo,-
palit,verb,buy,purchase,mag palit ko mga mani para nimo,
sunog,noun,fire,-,maghimo ta ug sunog,-
baroron,color,brown,-,baroron ang bohok sa akong asawa,-
pulutan,noun,appetizers,drink snacks,kaon ta ang pulutan karon!,-
kat-on,verb,learn,,ganahan ko kat-on,tuon
pungko,verb,squat,,"ok lang, mupungko ko diri",
tao,noun,people,-,daghang tao diri,-
botelyo,noun,bottle,,asa ang akong botelyo?,
tinud anay,expression,in reality,true,,
bulok,adjective,dumb,stupid,ikaw ang bulok!,bugo
kita,verb,see,pastilan! mga lamog gipaak nako,mag kita ta puhon,kita-kits
siko,body,elbow,-,sakit akong siko gahapon,-
manghod,noun,little sister,little brother,kaila ka iyang manghod,
suga,noun,light,lamp,,
mingaw,verb,miss,lonely,gimingaw ko nimo,inusara
bulag,,separate,blind,,
agosto,month,august,,,
paki,expression,please,,paki balika,palihug
pasiyo,,stroll,,,"laag-laag, suroy-suroy"
ngano,5Ws,why,,nganong gibuhat nimo kana?,
labot,,care,concern,,
katawhan,expression,person,,,
mag,prefix,future,,magkita ta puhon,
tag-iya,verb,own,owner,tag-iya ko si Pepper,amo
koko,noun,nail,fingernail,"akong koko kay taas, kinahanglan ko gupit them",-
libreriya,,library,,,
hagdanan,noun,stairs,staircase,pag-amping sa hagdanan lola,cs-
bag-olong,,recently,,,
pud,expression,too,as well,ok lang pud,"sab,usab"
tabok,verb,cross,across,nag tabok ko ang kalye ganina,-
naa,verb,have,(is) there,naa ba ka pagkaon?,-
bisikleta,noun,bike,bicycle,pas-pas ang bisikleta,
bagong tuig,expression,new year,,,
batasan,adjective,personality,,Sila batasan bati,
atong,pronoun,their,theirs,mu punit ta atong pagkaon ganiha mag adto ta sa dagat,
sugal,verb,gamble,,ganahan ba mo mag sugal?,
hulyo,month,july,,,
ero,,dog,,,
ibabaw sa,expression,on top of,above,kini naa sa ibabaw nimo,-
daan,adjective,old,,daan ang botleyo,
paghuman,verb,finish,after,"paghuman ko, muadto ta sa merkado",kompleto
baha,noun,flood,,,
palihug,adverb,please,,pwede naa ko imong tubig palihug?,
talagsa,expression,rarely,,,
ipis,animal,cockroach,,,
mantikaon,adjective,oily,-,"ang pagkaon kay mantikaon gamay, pero lami pa",-
biyaan,verb,leave,abondon,biyaan ta karon ug adto sa among balay,
kadiyut lang,phrase,wait a moment,one minute,"kadiyut lang paki, pasenya na","isa pa,usa pa"
sabong,expression,cock fight,,gusto go mag adto sa sabong usa adlaw,
anibersaryo,noun,anniversary,,,
mangi,expression,please,-,mangi gihatagan,-
amot,verb,contribute,contribution,mag amot ko sa bayad,-
ilalom sa,expression,under,below,kini naa ilalom sa nimo,-
bastos,expression,rude,disrespect,sila nag bastos nako ganiha adlaw,
palengke,noun,market,supermarket,,
pantalon,noun,pants,,,
badlung,verb,expose,to call someone out,,
lapad,adjective,wide,,ang dalan sa lapad,
ihatag,verb,give,giving,gihatag ko na nimo!,tagaan
